,Marca,Modelo,Carroceria,Largo,Alto,Ancho,Peso,Maletero,Depósito,Potencia,Plazas,Isofix,Consumo,Combustible,Emisiones,Etiqueta,Precio,Valoración
0,Audi,['Q7'],SUV XXL,5.072 m,1.743 m,1.97 m,2055 kg,867 l,85 l,231-507 CV,7,3.0,7.8-12.2 l/100Km,"[' Gasolina', 'MHEV Diesel', 'MHEV Gasolina']",205-272 g/Km,"[' C', ' Eco']",74.460 €,"4,1"
1,BMW,['X5'],SUV XXL,4.935 m,1.765 m,2.004 m,2295 kg,650 l,80 l,298-625 CV,5 y 7,3.0,7.1-12.9 l/100Km,"['MHEV Diesel', 'MHEV Gasolina']",189-291 g/Km,"[' C', ' Eco']",94.037 €,"3,9"
2,BMW,"['X5', 'Híbrido']",SUV XXL,4.935 m,1.755 m,2.004 m,2495 kg,500 l,69 l,489 CV,5,3.0,9.1 l/100Km,PHEV Gasolina,206 g/Km,"[' Eco', ' Zero']",103.041 €,"3,9"
3,BMW,['X7'],SUV XXL,5.151 m,1.835 m,2.0 m,2490 kg,750 l,83 l,352-530 CV,7,4.0,8.1-12.1 l/100Km,"['MHEV Diesel', 'MHEV Gasolina']",213-274 g/Km,"[' C', ' Eco', ' Zero']",120.510 €,"3,5"
4,Citroën,"['C3', 'Aircross']",SUV Mediano,4.390 m,1.633 m,1.756 m,1298 kg,460 l,44 l,100-145 CV,5 y 7,2.0,5.3-6.2 l/100Km,"[' Gasolina', 'MHEV Gasolina']",120-139 g/Km,"[' C', ' Eco']",18.490 €,"2,9"
5,Citroën,"['C3', 'Aircross']",SUV Mediano,4.390 m,1.633 m,1.756 m,1298 kg,460 l,44 l,100-145 CV,5 y 7,2.0,5.3-6.2 l/100Km,"[' Gasolina', 'MHEV Gasolina']",120-139 g/Km,"[' C', ' Eco']",18.490 €,"2,9"
6,Citroën,"['Grand', 'C4', 'SpaceTourer']",Monovolumen Mediano,4.597 m,1.644 m,1.826 m,1297 kg,130 l,57 l,130-131 CV,7,2.0,4.9-6.4 l/100Km,"[' Diesel', ' Gasolina']",115-134 g/Km,[' C'],24.675 €,"3,6"
7,Citroën,['Holidays'],Monovolumen Grande,4.981 m,1.895 m,1.92 m,1964 kg,1510 l,69 l,144-177 CV,7,3.0,7.9-8.1 l/100Km,[' Diesel'],208-211 g/Km,"[' C', ' Zero']",53.490 €,"3,6"
8,Citroën,['SpaceTourer'],Monovolumen Grande,4.609 m,1.895 m,1.92 m,2025 kg,507 l,69 l,180 CV,8,6.0,7.2-7.3 l/100Km,[' Diesel'],190-193 g/Km,[' C'],47.228 €,"3,2"
9,Citroën,['SpaceTourer'],Monovolumen Grande,4.609 m,1.895 m,1.92 m,2025 kg,507 l,69 l,180 CV,8,6.0,7.2-7.3 l/100Km,[' Diesel'],190-193 g/Km,[' C'],47.228 €,"3,2"
10,Citroën,"['ë-Berlingo', 'eléctrico']",Monovolumen Pequeño,4.400 m,1.880 m,1.848 m,1736 kg,775 l,-,136 CV,7,3.0,335-343 Kms,[' Eléctrico'],0 g/Km,[' Zero'],24.323 €,"3,0"
11,Dacia,['Jogger'],Monovolumen Mediano,4.551 m,1.632 m,1.784 m,1298 kg,595 l,50 l,100-110 CV,7,2.0,5.8-7.7 l/100Km,"[' Gasolina', ' Bifuel']",118-131 g/Km,"[' C', ' Eco', ' Zero']",17.040 €,"3,6"
12,Dacia,"['Jogger', 'híbrido']",Monovolumen Mediano,4.547 m,1.632 m,1.784 m,1432 kg,595 l,50 l,140 CV,5 y 7,2.0,4.8-4.9 l/100Km,['HEV Gasolina'],105-107 g/Km,"[' C', ' Eco', ' Zero']",22.050 €,"3,7"
13,Dacia,['Lodgy'],Monovolumen Mediano,4.498 m,1.683 m,1.751 m,1263 kg,827 l,50 l,95-115 CV,7,4.0,4.8-5.0 l/100Km,[' Diesel'],119-139 g/Km,"[' C', ' Eco', ' Zero',]",13.700 €,"2,8"
14,DFSK,['600'],SUV Mediano,4.720 m,1.710 m,1.865 m,1590 kg,375 l,58 l,177 CV,7,2.0,-,[' Gasolina'],197 g/Km,"[' C', ' Eco']",25.499 €,"2,8"
15,DFSK,['E5'],SUV Mediano,4.760 m,1.710 m,1.865 m,1895 kg,187 l,60 l,217 CV,7,4.0,7.1 l/100Km,['PHEV Gasolina'],162 g/Km,"[' C', ' Eco', ' Zero']",25.999 €,"2,7"
16,DFSK,"['Glory', '580']",SUV Grande,4.680 m,1.715 m,1.845 m,1510 kg,340 l,-,149 CV,7,4.0,9.9 l/100Km,[' Gasolina'],222 g/Km,"[' C', ' Eco', ' Zero']",21.122 €,"2,5"
17,Ebro,['S800'],SUV Grande,4.725 m,1.705 m,1.86 m,1748 kg,889 l,57 l,147 CV,5 y 7,2.0,7.8 l/100Km,[' Gasolina'],177 g/Km,"[' C', ' Eco']",32.990 €,"3,3"
18,Ebro,"['s800', 'híbrido']",SUV Grande,4.725 m,1.705 m,1.86 m,1991 kg,889 l,60 l,347 CV,5 y 7,2.0,7.6 l/100Km,['PHEV Gasolina'],172 g/Km,"[' Eco', ' Zero']",32.860 €,"3,5"
19,EVO,['7'],SUV Mediano,4.795 m,1.758 m,1.87 m,1605 kg,230 l,58 l,165-174 CV,6 y 7,2.0,7.4-9.5 l/100Km,"[' Gasolina', ' Bifuel']",153-171 g/Km,"[' C', ' Eco']",29.900 €,"2,7"
20,Fiat,['Ulysse'],Monovolumen Grande,4.950 m,1.910 m,1.92 m,2084 kg,603 l,69 l,180 CV,5 y 6 y 7 y 8 y 9,4.0,7.2-7.3 l/100Km,[' Diesel'],190-192 g/Km,"[' C', ' Zero']",46.590 €,"3,2"
21,Fiat,"['Ulysse', 'eléctrico']",Monovolumen Grande,4.950 m,1.910 m,1.92 m,2025 kg,603 l,-,136 CV,8,4.0,0 Kms,[' Eléctrico'],0 g/Km,[' Zero'],50.111 €,"2,9"
