Nombre,Valoraciones,A favor,En contra,Opiniones,Precio,Características
1. Mazda CX-80,9/10,"['Excelente eficiencia tanto en el PHEV como en el diésel', 'Fácil acceso y amplio espacio en la segunda y tercera fila de asientos', 'Alta calidad de construcción y acabados interiores']","['La suspensión puede sentirse algo seca en ciertas superficies', 'Barqueo de la carrocería acusado en conducción alegre', 'Sistema multimedia algo limitado frente a algunos rivales']","El CX-80 usa la misma plataforma y motores que el CX-60 pero es 25 cm más largo, por lo que también destaca en tacto de conducción, la fuerza y elasticidad de su motor diésel de 6 cilindros con microhibridación y un interior con acabados de lujo. Todo ello por un precio muy razonable.",Desde 54.668 €,
2. Renault Espace,9/10,"['Consumo', 'Equipamiento disponible', 'Opción de siete plazas sin coste']","['Funcionamiento poco refinado en ocasiones', 'Gama reducida a una sola versión', 'Tacto del freno']","El nuevo Renault Espace es ahora un SUV con unas plazas traseras de la tercera fila con un espacio similar al de sus rivales, con una única motorización híbrida potente y bastante eficiente. Cuenta con lo último en tecnología multimedia, con una gran pantalla central y un software desarrollado por Google que funciona con fluidez, y tiene un chasis sofisticado con un buen comportamiento y confort.",Desde 38.280 €,
3. Hyundai Santa Fe,8/10,"['Equipamiento y tecnología propios de coches de más alta gama', 'Motor híbrido potente y tracción total', 'Es un coche cómodo de conducir en toda circunstancia']","['Precio elevado', 'Escasa autonomía eléctrica de la versión híbrida enchufable', 'Alertas de los asistentes de conducción intrusivas y engorrosas de desconectar']","El Santa Fe dispone de motorizaciones híbrida e híbrida enchufable y ahora es más lujoso y refinado. Tiene un habitáculo amplio con una buena calidad de acabados, su equipamiento es abundante y es muy confortable. Digamos que lo hace todo bien pero han subido el precio también bastante.",Desde 51.478 €,
4. Skoda Kodiaq,8/10,"['Practicidad y espacio disponible', 'Oferta mecánica amplia', 'Confort de marcha']","['Ergonomía de algunos mandos', 'Plazas de la tercera fila solo para niños', 'Motores diésel sin hibridación']","El Skoda Kodiaq es mucho más barato que el Q7, sin embargo ofrece algo similar en lo que se refiere al uso familiar. Tiene un gran espacio tanto para los pasajeros como para el equipaje, motores con una buena relación entre consumo y prestaciones y tiene una construcción sólida, ideal para aguantar el ""trote"" durante muchos años.",Desde 40.001 €,
5. Peugeot 5008,8/10,"['Amplio interior con 7 plazas de serie', 'Comodidad y refinamiento', 'Motorizaciones híbridas y eléctricas, con buena autonomía']","['La calidad del sistema multimedia podría mejorar', 'El i-Cockpit seguirá sin convencer a algunos usuarios', 'Prestaciones']","El Peugeot 5008 es un coche muy redondo y coherente. Es espacioso y versátil, con un banqueta desplazable y un buen acceso a las plazas de la tercera fila y un enorme maletero, cuenta con un confort de marcha elevado, un bajo consumo y tiene un sistema multimedia muy moderno.",Desde 34.885 €,
6. Volkswagen Tayron,8/10,"['Maletero muy grande', 'Aislamiento', 'Integración de ChatGPT']","['PHEV solo de cinco plazas', 'La tercera fila de asientos puede quedar justa en espacio', 'Detalles de acabado']","El Volkswagen Tayron es un SUV espacioso y tecnológico, que reemplaza al Tiguan Allspace pero con un diseño más distintivo, con motorizaciones híbridas y gasolina.",Desde 42.981 €,
7. KIA Sorento,7/10,"['Variedad de motores', 'Amplio y disponible con siete plazas', 'Precio']","['Consumo', 'Mandos del climatizador', 'Prestaciones sólo correctas']","El KIA Sorento es un SUV de gran tamaño que pretende competir en el segmento de lujo. No es precisamente un coche económico, sin embargo, es uno de los mejores en cuanto a relación calidad-precio por todo lo que ofrece. Tiene un gran confort y habitabilidad, además de un equipamiento muy completo y avanzado tecnológicamente. Sus prestaciones son correctas y dinámicamente sorprende para su tamaño.",Desde 45.963 €,
8. Nissan X-Trail,9/10,"['Presentación vistosa', 'Confort general', 'Uno de los pocos de su tamaño con siete plazas']","['Rumorosidad en ciertas condiciones', 'Presencia de algunos plásticos duros', 'Manejo del selector de marchas']","El X-Trail ha subido sensiblemente de nivel en cuanto a lujo y refinamiento con respecto al anterior modelo, además de tener mejores cualidades off-road con sistema tracción total realmente eficaz. Destaca la versión con el sistema híbrido e-POWER por sus prestaciones y ausencia de vibraciones. Tiene un compromiso entre confort y estabilidad en carretera muy interesante.",Desde 32.660 €,
9. Mercedes-Benz GLB,8/10,"['Versatilidad', 'Diseño', 'Variedad']","['Precio', 'Equipamiento en modelos básicos', 'Sin versiones CERO']","Este SUV de carrocería compacta por ofrecer capacidad para 7 pasajeros y por contar con soluciones prácticas mas propias de un monovolumen. Es un modelo que destaca por su tecnología, conectividad y asistentes a la conducción. También es un coche lujoso, cómodo y espacioso.",Desde 46.330 €,
10. Toyota Highlander,8/10,"['Versatilidad', 'Facilidad de conducción', 'Etiqueta Eco en toda la gama']","['Poca variedad mecánica', 'Tamaño', 'Manejo multimedia poco intuitivo']","El Highlander tiene un sistema de propulsión híbrido y tiene un precio elevado, pero ya no es tan caro en comparación con sus rivales. Su consumo es realmente ajustado en toda circunstancia, su maletero es enorme y tiene una tercera fila en la que pueden viajar adultos, además de tener una parte trasera con una gran modularidad. Eso sí, está ya algo desfasado en algunos aspectos.",Desde 59.790 €,
